ライフステージ,カテゴリ,タスク名,優先度,期限,必要書類,担当窓口,理由・説明,メモ・ヒント
元気なうち,準備,家族で介護方針を話し合う,高,なし,なし,家族,緊急時の連絡体制や役割分担を決めておくため,特に遠方に住んでいる場合は重要
元気なうち,準備,親の希望を確認する,高,なし,なし,本人・家族,介護場所や延命措置の意思確認のため,エンディングノートの活用も検討
元気なうち,情報収集,公的制度や選択肢の情報収集,中,なし,なし,地域包括支援センター,要介護認定や施設の基礎知識を得るため,自治体窓口の連絡先も把握
元気なうち,準備,緊急連絡先リストの作成,高,なし,なし,家族,親戚・かかりつけ医・ケアマネなどの連絡先整理,すぐ取り出せる場所に保管
元気なうち,準備,重要書類と資産情報の整理,高,なし,保険証券・年金手帳・通帳等,家族,相続時に必要な情報を事前整理,デジタルアカウントのID・パスワードも
元気なうち,準備,遺言書作成の検討,中,なし,印鑑・財産目録,公証役場・司法書士,相続手続きを円滑にするため,自筆証書遺言は要件に注意
介護開始時,手続き,要介護認定の申請,高,速やかに,介護保険証・印鑑,市区町村介護保険課,介護サービスを受けるための必須手続き,認定まで約1ヶ月かかる
介護開始時,手続き,認定調査への同席,高,調査日,なし,自宅等,適切な介護度判定を受けるため,本人は「できる」と答えがち
介護開始時,連絡調整,ケアマネージャーとの相談,高,認定後速やかに,介護保険証,ケアマネ事務所,ケアプラン作成のため,メール等で連絡が取れるか確認
介護開始時,準備,住宅の安全確認と改修,中,なし,なし,福祉用具業者,転倒防止のため,手すり設置や段差解消
介護開始時,金銭管理,介護費用の確認,中,なし,年金額・預金残高,家族,家計の見直しのため,高額介護サービス費の確認も
入院時,手続き,救急対応と情報提供,高,即時,保険証・お薬手帳,救急隊・医療機関,迅速・的確な処置のため,黒い便など気になる症状は必ず伝える
入院時,手続き,入院手続きと書類記入,高,入院当日,健康保険証・印鑑,病院受付,入院契約や同意書の記入,同じ情報を何度も書くことが多い
入院時,連絡調整,他の親族のケア手配,高,速やかに,なし,ケアマネージャー,配偶者等の介護継続のため,ショートステイの活用を検討
入院時,情報収集,治療方針の確認と共有,高,説明後速やかに,なし,主治医,家族で情報共有するため,余命の目安なども正確に理解
入院時,金銭管理,入院費用の確認と保険請求,中,退院後,診断書・保険証券,保険会社,医療費負担軽減のため,高額療養費制度の確認も
入院時,準備,退院後の計画準備,中,退院前,なし,退院支援担当者,スムーズな退院のため,転院か在宅介護か検討
施設入居時,情報収集,希望条件の整理,高,なし,なし,家族,適切な施設選びのため,予算・立地・サービス内容を明確化
施設入居時,情報収集,施設種類と受け入れ要件の確認,高,なし,なし,ケアマネージャー,親の状態に合った施設選定のため,特養・老健・有料の違いを理解
施設入居時,情報収集,情報収集と資料請求,中,なし,なし,各施設,比較検討のため,直接問い合わせがお得
施設入居時,準備,施設見学と評価,高,入居前,なし,各施設,雰囲気や実態確認のため,食事時間帯の見学がおすすめ
施設入居時,手続き,入居申込みと面談,高,見学後,診療情報提供書,施設,入居可否判定のため,医療依存度の確認あり
施設入居時,手続き,入居契約と引越し準備,高,入居前,印鑑・身分証明書,施設,正式な入居手続き,身元引受人が必要
看取り準備,準備,延命治療の意思確認,高,元気なうちに,なし,本人・家族,最期の医療方針決定のため,書面で残すことも検討
看取り準備,準備,葬儀社の選定・事前相談,中,なし,なし,葬儀社,いざという時に慌てないため,複数社で見積もり比較
看取り準備,準備,訃報連絡リストの整備,中,なし,なし,家族,速やかな連絡のため,電話番号の再確認
看取り準備,連絡調整,最期の付き添い体制,高,容態悪化時,なし,家族・施設,看取りのため,交代で付き添える体制を
逝去直後,手続き,死亡診断書の受領,高,逝去後即時,なし,医師,以降の手続きに必須,原本を複数コピー
逝去直後,連絡調整,親族への訃報連絡,高,逝去後速やかに,連絡先リスト,家族,葬儀参列確認のため,深夜早朝は配慮
逝去直後,手続き,遺体の搬送と安置,高,逝去後即時,なし,葬儀社,適切な遺体管理のため,葬儀社への連絡
逝去直後,手続き,死亡届の提出,高,7日以内,死亡診断書・印鑑,市区町村役場,法的義務,火葬許可証も同時取得
逝去直後,準備,葬儀日程の調整,高,死亡届提出後,なし,葬儀社・火葬場,火葬場予約のため,親族の都合も考慮
逝去直後,準備,葬儀形式と規模の決定,高,葬儀前,遺影写真,葬儀社・寺院,適切な葬儀執行のため,家族葬か一般葬か
葬儀後,手続き,健康保険の資格喪失手続き,高,14日以内,保険証・印鑑,市区町村役場,法的義務,埋葬料の申請も確認
葬儀後,手続き,介護保険証の返却,高,14日以内,介護保険証,市区町村介護保険課,法的義務,未精算分の確認も
葬儀後,手続き,年金受給停止手続き,高,厚年10日・国年14日以内,年金証書・戸籍謄本,年金事務所,過払い防止のため,遺族年金の申請も
葬儀後,手続き,世帯主変更届,高,14日以内,印鑑・身分証明書,市区町村役場,世帯構成変更のため,公共料金の引落口座変更も
葬儀後,手続き,公共料金の名義変更,中,速やかに,なし,各事業者,継続利用のため,故人名義は解約か変更
葬儀後,準備,未払い費用の清算,中,請求後速やかに,請求書,各機関,債務整理のため,領収書は相続税申告用に保管
